pheno	pheno_code	idp
height	ukb-b-10787	IDP-25310
height	ukb-b-10787	IDP-25311
height	ukb-b-10787	IDP-25315
height	ukb-b-10787	IDP-25318
height	ukb-b-10787	IDP-25321
height	ukb-b-10787	IDP-25322
height	ukb-b-10787	IDP-25323
height	ukb-b-10787	IDP-25326
height	ukb-b-10787	IDP-25328
height	ukb-b-10787	IDP-25329
height	ukb-b-10787	IDP-25332
height	ukb-b-10787	IDP-25333
height	ukb-b-10787	IDP-25337
height	ukb-b-10787	IDP-25339
height	ukb-b-10787	IDP-25340
height	ukb-b-10787	IDP-25342
height	ukb-b-10787	IDP-25343
height	ukb-b-10787	IDP-25344
height	ukb-b-10787	IDP-25346
height	ukb-b-10787	IDP-25347
height	ukb-b-10787	IDP-25349
height	ukb-b-10787	IDP-25352
height	ukb-b-10787	IDP-25353
height	ukb-b-10787	IDP-25354
height	ukb-b-10787	IDP-25356
height	ukb-b-10787	IDP-25357
height	ukb-b-10787	IDP-25358
height	ukb-b-10787	IDP-25359
height	ukb-b-10787	IDP-25362
height	ukb-b-10787	IDP-25364
height	ukb-b-10787	IDP-25365
height	ukb-b-10787	IDP-25366
height	ukb-b-10787	IDP-25367
height	ukb-b-10787	IDP-25368
height	ukb-b-10787	IDP-25369
height	ukb-b-10787	IDP-25370
height	ukb-b-10787	IDP-25371
height	ukb-b-10787	IDP-25373
height	ukb-b-10787	IDP-25376
height	ukb-b-10787	IDP-25380
height	ukb-b-10787	IDP-25381
height	ukb-b-10787	IDP-25382
height	ukb-b-10787	IDP-25383
height	ukb-b-10787	IDP-25387
height	ukb-b-10787	IDP-25388
height	ukb-b-10787	IDP-25389
height	ukb-b-10787	IDP-25393
height	ukb-b-10787	IDP-25396
height	ukb-b-10787	IDP-25398
height	ukb-b-10787	IDP-25402
height	ukb-b-10787	IDP-25404
height	ukb-b-10787	IDP-25405
height	ukb-b-10787	IDP-25410
height	ukb-b-10787	IDP-25411
height	ukb-b-10787	IDP-25412
height	ukb-b-10787	IDP-25413
height	ukb-b-10787	IDP-25414
height	ukb-b-10787	IDP-25415
height	ukb-b-10787	IDP-25418
height	ukb-b-10787	IDP-25419
height	ukb-b-10787	IDP-25424
height	ukb-b-10787	IDP-25425
height	ukb-b-10787	IDP-25426
height	ukb-b-10787	IDP-25428
height	ukb-b-10787	IDP-25429
height	ukb-b-10787	IDP-25431
height	ukb-b-10787	IDP-25433
height	ukb-b-10787	IDP-25434
height	ukb-b-10787	IDP-25440
height	ukb-b-10787	IDP-25441
height	ukb-b-10787	IDP-25445
height	ukb-b-10787	IDP-25447
height	ukb-b-10787	IDP-25449
height	ukb-b-10787	IDP-25450
height	ukb-b-10787	IDP-25451
height	ukb-b-10787	IDP-25452
height	ukb-b-10787	IDP-25453
height	ukb-b-10787	IDP-25454
height	ukb-b-10787	IDP-25456
height	ukb-b-10787	IDP-25458
height	ukb-b-10787	IDP-25460
height	ukb-b-10787	IDP-25462
height	ukb-b-10787	IDP-25463
height	ukb-b-10787	IDP-25464
height	ukb-b-10787	IDP-25465
height	ukb-b-10787	IDP-25467
height	ukb-b-10787	IDP-25468
height	ukb-b-10787	IDP-25469
height	ukb-b-10787	IDP-25478
height	ukb-b-10787	IDP-25479
height	ukb-b-10787	IDP-25481
height	ukb-b-10787	IDP-25483
height	ukb-b-10787	IDP-25486
height	ukb-b-10787	IDP-25487
height	ukb-b-10787	IDP-25494
height	ukb-b-10787	IDP-25495
height	ukb-b-10787	IDP-25504
height	ukb-b-10787	IDP-25506
height	ukb-b-10787	IDP-25508
height	ukb-b-10787	IDP-25509
height	ukb-b-10787	IDP-25510
height	ukb-b-10787	IDP-25516
height	ukb-b-10787	IDP-25518
height	ukb-b-10787	IDP-25519
height	ukb-b-10787	IDP-25521
height	ukb-b-10787	IDP-25522
height	ukb-b-10787	IDP-25526
height	ukb-b-10787	IDP-25528
height	ukb-b-10787	IDP-25532
height	ukb-b-10787	IDP-25533
height	ukb-b-10787	IDP-25536
height	ukb-b-10787	IDP-25537
height	ukb-b-10787	IDP-25544
height	ukb-b-10787	IDP-25545
height	ukb-b-10787	IDP-25546
height	ukb-b-10787	IDP-25548
height	ukb-b-10787	IDP-25549
height	ukb-b-10787	IDP-25552
height	ukb-b-10787	IDP-25553
height	ukb-b-10787	IDP-25555
height	ukb-b-10787	IDP-25558
height	ukb-b-10787	IDP-25559
height	ukb-b-10787	IDP-25560
height	ukb-b-10787	IDP-25563
height	ukb-b-10787	IDP-25565
height	ukb-b-10787	IDP-25566
height	ukb-b-10787	IDP-25567
height	ukb-b-10787	IDP-25568
height	ukb-b-10787	IDP-25570
height	ukb-b-10787	IDP-25571
height	ukb-b-10787	IDP-25572
height	ukb-b-10787	IDP-25575
height	ukb-b-10787	IDP-25580
height	ukb-b-10787	IDP-25582
height	ukb-b-10787	IDP-25583
height	ukb-b-10787	IDP-25586
height	ukb-b-10787	IDP-25587
height	ukb-b-10787	IDP-25590
height	ukb-b-10787	IDP-25599
height	ukb-b-10787	IDP-25600
height	ukb-b-10787	IDP-25602
height	ukb-b-10787	IDP-25603
height	ukb-b-10787	IDP-25617
height	ukb-b-10787	IDP-25618
height	ukb-b-10787	IDP-25621
height	ukb-b-10787	IDP-25625
height	ukb-b-10787	IDP-25626
height	ukb-b-10787	IDP-25629
height	ukb-b-10787	IDP-25630
height	ukb-b-10787	IDP-25634
height	ukb-b-10787	IDP-25636
height	ukb-b-10787	IDP-25641
height	ukb-b-10787	IDP-25642
height	ukb-b-10787	IDP-25644
height	ukb-b-10787	IDP-25645
height	ukb-b-10787	IDP-25646
height	ukb-b-10787	IDP-25650
height	ukb-b-10787	IDP-25651
height	ukb-b-10787	IDP-25656
height	ukb-b-10787	IDP-25657
height	ukb-b-10787	IDP-25659
height	ukb-b-10787	IDP-25661
height	ukb-b-10787	IDP-25662
height	ukb-b-10787	IDP-25663
height	ukb-b-10787	IDP-25664
height	ukb-b-10787	IDP-25666
height	ukb-b-10787	IDP-25668
height	ukb-b-10787	IDP-25676
height	ukb-b-10787	IDP-25682
height	ukb-b-10787	IDP-25684
height	ukb-b-10787	IDP-25691
height	ukb-b-10787	IDP-25693
height	ukb-b-10787	IDP-25694
height	ukb-b-10787	IDP-25695
height	ukb-b-10787	IDP-25707
height	ukb-b-10787	IDP-25713
height	ukb-b-10787	IDP-25716
height	ukb-b-10787	IDP-25718
height	ukb-b-10787	IDP-25721
height	ukb-b-10787	IDP-25722
height	ukb-b-10787	IDP-25725
height	ukb-b-10787	IDP-25726
height	ukb-b-10787	IDP-25729
height	ukb-b-10787	PC-2
height	ukb-b-10787	PC-5
height	ukb-b-10787	PC-6
height	ukb-b-10787	PC-7
height	ukb-b-10787	PC-8
height	ukb-b-10787	PC-9
bmi	ukb-b-19953	IDP-25056
bmi	ukb-b-19953	IDP-25064
bmi	ukb-b-19953	IDP-25091
bmi	ukb-b-19953	IDP-25097
bmi	ukb-b-19953	IDP-25098
bmi	ukb-b-19953	IDP-25099
bmi	ukb-b-19953	IDP-25104
bmi	ukb-b-19953	IDP-25130
bmi	ukb-b-19953	IDP-25141
bmi	ukb-b-19953	IDP-25150
bmi	ukb-b-19953	IDP-25180
bmi	ukb-b-19953	IDP-25184
bmi	ukb-b-19953	IDP-25187
bmi	ukb-b-19953	IDP-25190
bmi	ukb-b-19953	IDP-25191
bmi	ukb-b-19953	IDP-25200
bmi	ukb-b-19953	IDP-25211
bmi	ukb-b-19953	IDP-25212
bmi	ukb-b-19953	IDP-25213
bmi	ukb-b-19953	IDP-25220
bmi	ukb-b-19953	IDP-25230
bmi	ukb-b-19953	IDP-25235
bmi	ukb-b-19953	IDP-25246
bmi	ukb-b-19953	IDP-25285
bmi	ukb-b-19953	IDP-25300
bmi	ukb-b-19953	IDP-25304
bmi	ukb-b-19953	IDP-25333
bmi	ukb-b-19953	IDP-25334
bmi	ukb-b-19953	IDP-25337
bmi	ukb-b-19953	IDP-25346
bmi	ukb-b-19953	IDP-25352
bmi	ukb-b-19953	IDP-25353
bmi	ukb-b-19953	IDP-25354
bmi	ukb-b-19953	IDP-25355
bmi	ukb-b-19953	IDP-25361
bmi	ukb-b-19953	IDP-25368
bmi	ukb-b-19953	IDP-25392
bmi	ukb-b-19953	IDP-25404
bmi	ukb-b-19953	IDP-25405
bmi	ukb-b-19953	IDP-25408
bmi	ukb-b-19953	IDP-25427
bmi	ukb-b-19953	IDP-25434
bmi	ukb-b-19953	IDP-25435
bmi	ukb-b-19953	IDP-25440
bmi	ukb-b-19953	IDP-25448
bmi	ukb-b-19953	IDP-25464
bmi	ukb-b-19953	IDP-25486
bmi	ukb-b-19953	IDP-25492
bmi	ukb-b-19953	IDP-25497
bmi	ukb-b-19953	IDP-25507
bmi	ukb-b-19953	IDP-25523
bmi	ukb-b-19953	IDP-25524
bmi	ukb-b-19953	IDP-25529
bmi	ukb-b-19953	IDP-25546
bmi	ukb-b-19953	IDP-25548
bmi	ukb-b-19953	IDP-25550
bmi	ukb-b-19953	IDP-25560
bmi	ukb-b-19953	IDP-25568
bmi	ukb-b-19953	IDP-25573
bmi	ukb-b-19953	IDP-25577
bmi	ukb-b-19953	IDP-25578
bmi	ukb-b-19953	IDP-25586
bmi	ukb-b-19953	IDP-25587
bmi	ukb-b-19953	IDP-25600
bmi	ukb-b-19953	IDP-25603
bmi	ukb-b-19953	IDP-25610
bmi	ukb-b-19953	IDP-25619
bmi	ukb-b-19953	IDP-25637
bmi	ukb-b-19953	IDP-25667
bmi	ukb-b-19953	IDP-25668
bmi	ukb-b-19953	IDP-25681
bmi	ukb-b-19953	IDP-25686
bmi	ukb-b-19953	IDP-25703
bmi	ukb-b-19953	IDP-25728
bmi	ukb-b-19953	PC-3
bmi	ukb-b-19953	PC-5
bmi	ukb-b-19953	PC-6
bmi	ukb-b-19953	PC-8
wbc	ieu-b-30	IDP-25082
wbc	ieu-b-30	IDP-25093
wbc	ieu-b-30	IDP-25132
wbc	ieu-b-30	IDP-25140
wbc	ieu-b-30	IDP-25154
wbc	ieu-b-30	IDP-25156
wbc	ieu-b-30	IDP-25174
wbc	ieu-b-30	IDP-25175
wbc	ieu-b-30	IDP-25197
wbc	ieu-b-30	IDP-25202
wbc	ieu-b-30	IDP-25216
wbc	ieu-b-30	IDP-25236
wbc	ieu-b-30	IDP-25237
wbc	ieu-b-30	IDP-25238
wbc	ieu-b-30	IDP-25246
wbc	ieu-b-30	IDP-25271
wbc	ieu-b-30	IDP-25315
wbc	ieu-b-30	IDP-25322
wbc	ieu-b-30	IDP-25355
wbc	ieu-b-30	IDP-25357
wbc	ieu-b-30	IDP-25394
wbc	ieu-b-30	IDP-25416
wbc	ieu-b-30	IDP-25429
wbc	ieu-b-30	IDP-25431
wbc	ieu-b-30	IDP-25439
wbc	ieu-b-30	IDP-25450
wbc	ieu-b-30	IDP-25476
wbc	ieu-b-30	IDP-25504
wbc	ieu-b-30	IDP-25508
wbc	ieu-b-30	IDP-25511
wbc	ieu-b-30	IDP-25512
wbc	ieu-b-30	IDP-25519
wbc	ieu-b-30	IDP-25521
wbc	ieu-b-30	IDP-25526
wbc	ieu-b-30	IDP-25540
wbc	ieu-b-30	IDP-25545
wbc	ieu-b-30	IDP-25572
wbc	ieu-b-30	IDP-25575
wbc	ieu-b-30	IDP-25579
wbc	ieu-b-30	IDP-25580
wbc	ieu-b-30	IDP-25594
wbc	ieu-b-30	IDP-25602
wbc	ieu-b-30	IDP-25621
wbc	ieu-b-30	IDP-25629
wbc	ieu-b-30	IDP-25639
wbc	ieu-b-30	IDP-25648
wbc	ieu-b-30	IDP-25670
wbc	ieu-b-30	IDP-25700
wbc	ieu-b-30	IDP-25701
wbc	ieu-b-30	IDP-25708
wbc	ieu-b-30	IDP-25710
wbc	ieu-b-30	IDP-25720
wbc	ieu-b-30	IDP-25723
wbc	ieu-b-30	IDP-25725
wbc	ieu-b-30	IDP-25729
wbc	ieu-b-30	PC-3
wbc	ieu-b-30	PC-6
wbc	ieu-b-30	PC-8
rbc	ebi-a-GCST004601	IDP-25074
rbc	ebi-a-GCST004601	IDP-25079
rbc	ebi-a-GCST004601	IDP-25085
rbc	ebi-a-GCST004601	IDP-25109
rbc	ebi-a-GCST004601	IDP-25121
rbc	ebi-a-GCST004601	IDP-25124
rbc	ebi-a-GCST004601	IDP-25157
rbc	ebi-a-GCST004601	IDP-25170
rbc	ebi-a-GCST004601	IDP-25174
rbc	ebi-a-GCST004601	IDP-25175
rbc	ebi-a-GCST004601	IDP-25191
rbc	ebi-a-GCST004601	IDP-25197
rbc	ebi-a-GCST004601	IDP-25220
rbc	ebi-a-GCST004601	IDP-25222
rbc	ebi-a-GCST004601	IDP-25253
rbc	ebi-a-GCST004601	IDP-25266
rbc	ebi-a-GCST004601	IDP-25269
rbc	ebi-a-GCST004601	IDP-25271
rbc	ebi-a-GCST004601	IDP-25288
rbc	ebi-a-GCST004601	IDP-25316
rbc	ebi-a-GCST004601	IDP-25345
rbc	ebi-a-GCST004601	IDP-25349
rbc	ebi-a-GCST004601	IDP-25351
rbc	ebi-a-GCST004601	IDP-25355
rbc	ebi-a-GCST004601	IDP-25360
rbc	ebi-a-GCST004601	IDP-25361
rbc	ebi-a-GCST004601	IDP-25380
rbc	ebi-a-GCST004601	IDP-25410
rbc	ebi-a-GCST004601	IDP-25414
rbc	ebi-a-GCST004601	IDP-25415
rbc	ebi-a-GCST004601	IDP-25458
rbc	ebi-a-GCST004601	IDP-25476
rbc	ebi-a-GCST004601	IDP-25481
rbc	ebi-a-GCST004601	IDP-25518
rbc	ebi-a-GCST004601	IDP-25537
rbc	ebi-a-GCST004601	IDP-25561
rbc	ebi-a-GCST004601	IDP-25572
rbc	ebi-a-GCST004601	IDP-25590
rbc	ebi-a-GCST004601	IDP-25591
rbc	ebi-a-GCST004601	IDP-25599
rbc	ebi-a-GCST004601	IDP-25618
rbc	ebi-a-GCST004601	IDP-25621
rbc	ebi-a-GCST004601	IDP-25626
rbc	ebi-a-GCST004601	IDP-25655
rbc	ebi-a-GCST004601	IDP-25657
rbc	ebi-a-GCST004601	IDP-25659
rbc	ebi-a-GCST004601	IDP-25707
rbc	ebi-a-GCST004601	IDP-25718
rbc	ebi-a-GCST004601	IDP-25725
rbc	ebi-a-GCST004601	IDP-25726
rbc	ebi-a-GCST004601	PC-4
rbc	ebi-a-GCST004601	PC-8
platelet	ukb-d-30080_irnt	IDP-25082
platelet	ukb-d-30080_irnt	IDP-25083
platelet	ukb-d-30080_irnt	IDP-25086
platelet	ukb-d-30080_irnt	IDP-25136
platelet	ukb-d-30080_irnt	IDP-25140
platelet	ukb-d-30080_irnt	IDP-25150
platelet	ukb-d-30080_irnt	IDP-25156
platelet	ukb-d-30080_irnt	IDP-25158
platelet	ukb-d-30080_irnt	IDP-25175
platelet	ukb-d-30080_irnt	IDP-25195
platelet	ukb-d-30080_irnt	IDP-25246
platelet	ukb-d-30080_irnt	IDP-25264
platelet	ukb-d-30080_irnt	IDP-25274
platelet	ukb-d-30080_irnt	IDP-25280
platelet	ukb-d-30080_irnt	IDP-25291
platelet	ukb-d-30080_irnt	IDP-25323
platelet	ukb-d-30080_irnt	IDP-25326
platelet	ukb-d-30080_irnt	IDP-25328
platelet	ukb-d-30080_irnt	IDP-25346
platelet	ukb-d-30080_irnt	IDP-25356
platelet	ukb-d-30080_irnt	IDP-25357
platelet	ukb-d-30080_irnt	IDP-25358
platelet	ukb-d-30080_irnt	IDP-25359
platelet	ukb-d-30080_irnt	IDP-25375
platelet	ukb-d-30080_irnt	IDP-25383
platelet	ukb-d-30080_irnt	IDP-25390
platelet	ukb-d-30080_irnt	IDP-25397
platelet	ukb-d-30080_irnt	IDP-25398
platelet	ukb-d-30080_irnt	IDP-25425
platelet	ukb-d-30080_irnt	IDP-25431
platelet	ukb-d-30080_irnt	IDP-25462
platelet	ukb-d-30080_irnt	IDP-25463
platelet	ukb-d-30080_irnt	IDP-25481
platelet	ukb-d-30080_irnt	IDP-25495
platelet	ukb-d-30080_irnt	IDP-25512
platelet	ukb-d-30080_irnt	IDP-25531
platelet	ukb-d-30080_irnt	IDP-25548
platelet	ukb-d-30080_irnt	IDP-25549
platelet	ukb-d-30080_irnt	IDP-25551
platelet	ukb-d-30080_irnt	IDP-25577
platelet	ukb-d-30080_irnt	IDP-25585
platelet	ukb-d-30080_irnt	IDP-25587
platelet	ukb-d-30080_irnt	IDP-25605
platelet	ukb-d-30080_irnt	IDP-25656
platelet	ukb-d-30080_irnt	IDP-25657
platelet	ukb-d-30080_irnt	IDP-25668
platelet	ukb-d-30080_irnt	IDP-25676
platelet	ukb-d-30080_irnt	IDP-25716
platelet	ukb-d-30080_irnt	IDP-25722
platelet	ukb-d-30080_irnt	IDP-25725
platelet	ukb-d-30080_irnt	PC-3
lymphocyte	ebi-a-GCST004627	IDP-25154
lymphocyte	ebi-a-GCST004627	IDP-25202
lymphocyte	ebi-a-GCST004627	IDP-25708
monocyte	ukb-d-30130_irnt	IDP-25132
monocyte	ukb-d-30130_irnt	IDP-25155
monocyte	ukb-d-30130_irnt	IDP-25201
monocyte	ukb-d-30130_irnt	IDP-25220
monocyte	ukb-d-30130_irnt	IDP-25323
monocyte	ukb-d-30130_irnt	IDP-25412
monocyte	ukb-d-30130_irnt	IDP-25476
monocyte	ukb-d-30130_irnt	IDP-25530
monocyte	ukb-d-30130_irnt	IDP-25580
monocyte	ukb-d-30130_irnt	IDP-25584
monocyte	ukb-d-30130_irnt	PC-6
neutrophil	ebi-a-GCST004629	IDP-25093
neutrophil	ebi-a-GCST004629	IDP-25123
neutrophil	ebi-a-GCST004629	IDP-25150
neutrophil	ebi-a-GCST004629	IDP-25154
neutrophil	ebi-a-GCST004629	IDP-25175
neutrophil	ebi-a-GCST004629	IDP-25195
neutrophil	ebi-a-GCST004629	IDP-25197
neutrophil	ebi-a-GCST004629	IDP-25216
neutrophil	ebi-a-GCST004629	IDP-25236
neutrophil	ebi-a-GCST004629	IDP-25237
neutrophil	ebi-a-GCST004629	IDP-25246
neutrophil	ebi-a-GCST004629	IDP-25271
neutrophil	ebi-a-GCST004629	IDP-25315
neutrophil	ebi-a-GCST004629	IDP-25357
neutrophil	ebi-a-GCST004629	IDP-25429
neutrophil	ebi-a-GCST004629	IDP-25459
neutrophil	ebi-a-GCST004629	IDP-25476
neutrophil	ebi-a-GCST004629	IDP-25494
neutrophil	ebi-a-GCST004629	IDP-25504
neutrophil	ebi-a-GCST004629	IDP-25505
neutrophil	ebi-a-GCST004629	IDP-25511
neutrophil	ebi-a-GCST004629	IDP-25512
neutrophil	ebi-a-GCST004629	IDP-25519
neutrophil	ebi-a-GCST004629	IDP-25521
neutrophil	ebi-a-GCST004629	IDP-25540
neutrophil	ebi-a-GCST004629	IDP-25545
neutrophil	ebi-a-GCST004629	IDP-25572
neutrophil	ebi-a-GCST004629	IDP-25579
neutrophil	ebi-a-GCST004629	IDP-25580
neutrophil	ebi-a-GCST004629	IDP-25594
neutrophil	ebi-a-GCST004629	IDP-25602
neutrophil	ebi-a-GCST004629	IDP-25603
neutrophil	ebi-a-GCST004629	IDP-25621
neutrophil	ebi-a-GCST004629	IDP-25629
neutrophil	ebi-a-GCST004629	IDP-25648
neutrophil	ebi-a-GCST004629	IDP-25710
neutrophil	ebi-a-GCST004629	IDP-25725
neutrophil	ebi-a-GCST004629	IDP-25726
neutrophil	ebi-a-GCST004629	IDP-25729
neutrophil	ebi-a-GCST004629	PC-3
neutrophil	ebi-a-GCST004629	PC-8
eosinophil	ebi-a-GCST004606	IDP-25071
eosinophil	ebi-a-GCST004606	IDP-25076
eosinophil	ebi-a-GCST004606	IDP-25105
eosinophil	ebi-a-GCST004606	IDP-25154
eosinophil	ebi-a-GCST004606	IDP-25169
eosinophil	ebi-a-GCST004606	IDP-25191
eosinophil	ebi-a-GCST004606	IDP-25238
eosinophil	ebi-a-GCST004606	IDP-25263
eosinophil	ebi-a-GCST004606	IDP-25297
eosinophil	ebi-a-GCST004606	IDP-25311
eosinophil	ebi-a-GCST004606	IDP-25329
eosinophil	ebi-a-GCST004606	IDP-25345
eosinophil	ebi-a-GCST004606	IDP-25350
eosinophil	ebi-a-GCST004606	IDP-25351
eosinophil	ebi-a-GCST004606	IDP-25394
eosinophil	ebi-a-GCST004606	IDP-25395
eosinophil	ebi-a-GCST004606	IDP-25430
eosinophil	ebi-a-GCST004606	IDP-25431
eosinophil	ebi-a-GCST004606	IDP-25464
eosinophil	ebi-a-GCST004606	IDP-25473
eosinophil	ebi-a-GCST004606	IDP-25475
eosinophil	ebi-a-GCST004606	IDP-25476
eosinophil	ebi-a-GCST004606	IDP-25500
eosinophil	ebi-a-GCST004606	IDP-25511
eosinophil	ebi-a-GCST004606	IDP-25512
eosinophil	ebi-a-GCST004606	IDP-25521
eosinophil	ebi-a-GCST004606	IDP-25522
eosinophil	ebi-a-GCST004606	IDP-25532
eosinophil	ebi-a-GCST004606	IDP-25575
eosinophil	ebi-a-GCST004606	IDP-25576
eosinophil	ebi-a-GCST004606	IDP-25580
eosinophil	ebi-a-GCST004606	IDP-25582
eosinophil	ebi-a-GCST004606	IDP-25586
eosinophil	ebi-a-GCST004606	IDP-25589
eosinophil	ebi-a-GCST004606	IDP-25602
eosinophil	ebi-a-GCST004606	IDP-25608
eosinophil	ebi-a-GCST004606	IDP-25613
eosinophil	ebi-a-GCST004606	IDP-25618
eosinophil	ebi-a-GCST004606	IDP-25629
eosinophil	ebi-a-GCST004606	IDP-25639
eosinophil	ebi-a-GCST004606	IDP-25640
eosinophil	ebi-a-GCST004606	IDP-25647
eosinophil	ebi-a-GCST004606	IDP-25650
eosinophil	ebi-a-GCST004606	IDP-25651
eosinophil	ebi-a-GCST004606	IDP-25689
eosinophil	ebi-a-GCST004606	IDP-25700
eosinophil	ebi-a-GCST004606	IDP-25710
eosinophil	ebi-a-GCST004606	IDP-25711
eosinophil	ebi-a-GCST004606	IDP-25720
eosinophil	ebi-a-GCST004606	IDP-25721
eosinophil	ebi-a-GCST004606	IDP-25724
eosinophil	ebi-a-GCST004606	IDP-25728
eosinophil	ebi-a-GCST004606	IDP-25729
eosinophil	ebi-a-GCST004606	PC-6
weekly_alcohol	ukb-b-5779	IDP-25181
weekly_alcohol	ukb-b-5779	IDP-25484
weekly_alcohol	ukb-b-5779	IDP-25551
recurrent_depressive_disorder	ukb-b-12064	IDP-25164
recurrent_depressive_disorder	ukb-b-12064	IDP-25252
parent_AD	ebi-a-GCST005921	IDP-25198
daily_coffee	ukb-b-5237	IDP-25711
daily_cigarettes	ieu-b-25	IDP-25379
height	ukb-b-10787	IDP-25078
height	ukb-b-10787	IDP-25079
height	ukb-b-10787	IDP-25101
height	ukb-b-10787	IDP-25108
height	ukb-b-10787	IDP-25119
height	ukb-b-10787	IDP-25127
height	ukb-b-10787	IDP-25133
height	ukb-b-10787	IDP-25138
height	ukb-b-10787	IDP-25155
height	ukb-b-10787	IDP-25156
height	ukb-b-10787	IDP-25164
height	ukb-b-10787	IDP-25231
height	ukb-b-10787	IDP-25234
height	ukb-b-10787	IDP-25232
height	ukb-b-10787	IDP-25270
height	ukb-b-10787	IDP-25287
height	ukb-b-10787	IDP-25324
height	ukb-b-10787	IDP-25341
height	ukb-b-10787	IDP-25476
height	ukb-b-10787	IDP-25499
height	ukb-b-10787	IDP-25497
height	ukb-b-10787	IDP-25503
height	ukb-b-10787	IDP-25517
height	ukb-b-10787	IDP-25520
height	ukb-b-10787	IDP-25554
height	ukb-b-10787	IDP-25574
