ukb_field	modality	region	side	measurement_type	dmri_measure	t1_anatomy_group	notes	ukb_link	subtype
25016	T1	putamen	right	Subcortical volumes (FIRST)	NA	Subcortical	Volume of right putamen (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25016	Subcortical
25017	T1	pallidum	left	Subcortical volumes (FIRST)	NA	Subcortical	Volume of left pallidum (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25017	Subcortical
25018	T1	pallidum	right	Subcortical volumes (FIRST)	NA	Subcortical	Volume of right pallidum (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25018	Subcortical
25019	T1	hippocampus	left	Subcortical volumes (FIRST)	NA	Subcortical	Volume of left hippocampus (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25019	Subcortical
25020	T1	hippocampus	right	Subcortical volumes (FIRST)	NA	Subcortical	Volume of right hippocampus (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25020	Subcortical
25021	T1	amygdala	left	Subcortical volumes (FIRST)	NA	Subcortical	Volume of left amygdala (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25021	Subcortical
25022	T1	amygdala	right	Subcortical volumes (FIRST)	NA	Subcortical	Volume of right amygdala (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25022	Subcortical
25023	T1	accumbens	left	Subcortical volumes (FIRST)	NA	Subcortical	Volume of left accumbens (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25023	Subcortical
25024	T1	accumbens	right	Subcortical volumes (FIRST)	NA	Subcortical	Volume of right accumbens (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25024	Subcortical
25025	T1	brain stem + 4th ventricle	NA	Other T1 measurements	NA	Brainstem	Volume of brain stem + 4th ventricle (from T1 brain image)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25025	Brainstem
25782	T1	frontal pole	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Frontal Pole	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25782	Gray-Cortical
25783	T1	frontal pole	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Frontal Pole	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25783	Gray-Cortical
25784	T1	insular cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Insular Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25784	Gray-Cortical
25785	T1	insular cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Insular Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25785	Gray-Cortical
25786	T1	superior frontal gyrus	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Superior Frontal Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25786	Gray-Cortical
25787	T1	superior frontal gyrus	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Superior Frontal Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25787	Gray-Cortical
25788	T1	middle frontal gyrus	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Middle Frontal Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25788	Gray-Cortical
25789	T1	middle frontal gyrus	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Middle Frontal Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25789	Gray-Cortical
25790	T1	inferior frontal gyrus, pars triangularis	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Inferior Frontal Gyrus, pars triangularis	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25790	Gray-Cortical
25791	T1	inferior frontal gyrus, pars triangularis	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Inferior Frontal Gyrus, pars triangularis	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25791	Gray-Cortical
25792	T1	inferior frontal gyrus, pars opercularis	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Inferior Frontal Gyrus, pars opercularis	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25792	Gray-Cortical
25793	T1	inferior frontal gyrus, pars opercularis	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Inferior Frontal Gyrus, pars opercularis	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25793	Gray-Cortical
25794	T1	precentral gyrus	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Precentral Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25794	Gray-Cortical
25795	T1	precentral gyrus	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Precentral Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25795	Gray-Cortical
25796	T1	temporal pole	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Temporal Pole	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25796	Gray-Cortical
25797	T1	temporal pole	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Temporal Pole	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25797	Gray-Cortical
25798	T1	superior temporal gyrus, anterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Superior Temporal Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25798	Gray-Cortical
25799	T1	superior temporal gyrus, anterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Superior Temporal Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25799	Gray-Cortical
25800	T1	superior temporal gyrus, posterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Superior Temporal Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25800	Gray-Cortical
25801	T1	superior temporal gyrus, posterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Superior Temporal Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25801	Gray-Cortical
25802	T1	middle temporal gyrus, anterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Middle Temporal Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25802	Gray-Cortical
25803	T1	middle temporal gyrus, anterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Middle Temporal Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25803	Gray-Cortical
25804	T1	middle temporal gyrus, posterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Middle Temporal Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25804	Gray-Cortical
25805	T1	middle temporal gyrus, posterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Middle Temporal Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25805	Gray-Cortical
25806	T1	middle temporal gyrus, temporooccipital part	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Middle Temporal Gyrus, temporooccipital part	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25806	Gray-Cortical
25807	T1	middle temporal gyrus, temporooccipital part	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Middle Temporal Gyrus, temporooccipital part	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25807	Gray-Cortical
25808	T1	inferior temporal gyrus, anterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Inferior Temporal Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25808	Gray-Cortical
25809	T1	inferior temporal gyrus, anterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Inferior Temporal Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25809	Gray-Cortical
25810	T1	inferior temporal gyrus, posterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Inferior Temporal Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25810	Gray-Cortical
25811	T1	inferior temporal gyrus, posterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Inferior Temporal Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25811	Gray-Cortical
25812	T1	inferior temporal gyrus, temporooccipital part	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Inferior Temporal Gyrus, temporooccipital part	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25812	Gray-Cortical
25813	T1	inferior temporal gyrus, temporooccipital part	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Inferior Temporal Gyrus, temporooccipital part	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25813	Gray-Cortical
25814	T1	postcentral gyrus	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Postcentral Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25814	Gray-Cortical
25815	T1	postcentral gyrus	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Postcentral Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25815	Gray-Cortical
25816	T1	superior parietal lobule	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Superior Parietal Lobule	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25816	Gray-Cortical
25817	T1	superior parietal lobule	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Superior Parietal Lobule	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25817	Gray-Cortical
25818	T1	supramarginal gyrus, anterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Supramarginal Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25818	Gray-Cortical
25819	T1	supramarginal gyrus, anterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Supramarginal Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25819	Gray-Cortical
25820	T1	supramarginal gyrus, posterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Supramarginal Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25820	Gray-Cortical
25821	T1	supramarginal gyrus, posterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Supramarginal Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25821	Gray-Cortical
25822	T1	angular gyrus	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Angular Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25822	Gray-Cortical
25823	T1	angular gyrus	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Angular Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25823	Gray-Cortical
25824	T1	lateral occipital cortex, superior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Lateral Occipital Cortex, superior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25824	Gray-Cortical
25825	T1	lateral occipital cortex, superior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Lateral Occipital Cortex, superior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25825	Gray-Cortical
25826	T1	lateral occipital cortex, inferior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Lateral Occipital Cortex, inferior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25826	Gray-Cortical
25827	T1	lateral occipital cortex, inferior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Lateral Occipital Cortex, inferior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25827	Gray-Cortical
25828	T1	intracalcarine cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Intracalcarine Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25828	Gray-Cortical
25829	T1	intracalcarine cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Intracalcarine Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25829	Gray-Cortical
25830	T1	frontal medial cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Frontal Medial Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25830	Gray-Cortical
25831	T1	frontal medial cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Frontal Medial Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25831	Gray-Cortical
25832	T1	juxtapositional lobule cortex (formerly supplementary motor cortex)	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25832	Gray-Cortical
25833	T1	juxtapositional lobule cortex (formerly supplementary motor cortex)	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25833	Gray-Cortical
25834	T1	subcallosal cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Subcallosal Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25834	Gray-Cortical
25835	T1	subcallosal cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Subcallosal Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25835	Gray-Cortical
25836	T1	paracingulate gyrus	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Paracingulate Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25836	Gray-Cortical
25837	T1	paracingulate gyrus	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Paracingulate Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25837	Gray-Cortical
25838	T1	cingulate gyrus, anterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Cingulate Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25838	Gray-Cortical
25839	T1	cingulate gyrus, anterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Cingulate Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25839	Gray-Cortical
25840	T1	cingulate gyrus, posterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Cingulate Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25840	Gray-Cortical
25841	T1	cingulate gyrus, posterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Cingulate Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25841	Gray-Cortical
25842	T1	precuneous cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Precuneous Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25842	Gray-Cortical
25843	T1	precuneous cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Precuneous Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25843	Gray-Cortical
25844	T1	cuneal cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Cuneal Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25844	Gray-Cortical
25845	T1	cuneal cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Cuneal Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25845	Gray-Cortical
25846	T1	frontal orbital cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Frontal Orbital Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25846	Gray-Cortical
25847	T1	frontal orbital cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Frontal Orbital Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25847	Gray-Cortical
25848	T1	parahippocampal gyrus, anterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Parahippocampal Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25848	Gray-Cortical
25849	T1	parahippocampal gyrus, anterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Parahippocampal Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25849	Gray-Cortical
25850	T1	parahippocampal gyrus, posterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Parahippocampal Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25850	Gray-Cortical
25851	T1	parahippocampal gyrus, posterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Parahippocampal Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25851	Gray-Cortical
25852	T1	lingual gyrus	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Lingual Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25852	Gray-Cortical
25853	T1	lingual gyrus	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Lingual Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25853	Gray-Cortical
25854	T1	temporal fusiform cortex, anterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Temporal Fusiform Cortex, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25854	Gray-Cortical
25855	T1	temporal fusiform cortex, anterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Temporal Fusiform Cortex, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25855	Gray-Cortical
25856	T1	temporal fusiform cortex, posterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Temporal Fusiform Cortex, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25856	Gray-Cortical
25857	T1	temporal fusiform cortex, posterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Temporal Fusiform Cortex, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25857	Gray-Cortical
25858	T1	temporal occipital fusiform cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Temporal Occipital Fusiform Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25858	Gray-Cortical
25859	T1	temporal occipital fusiform cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Temporal Occipital Fusiform Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25859	Gray-Cortical
25860	T1	occipital fusiform gyrus	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Occipital Fusiform Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25860	Gray-Cortical
25861	T1	occipital fusiform gyrus	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Occipital Fusiform Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25861	Gray-Cortical
25862	T1	frontal operculum cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Frontal Operculum Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25862	Gray-Cortical
25863	T1	frontal operculum cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Frontal Operculum Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25863	Gray-Cortical
25864	T1	central opercular cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Central Opercular Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25864	Gray-Cortical
25865	T1	central opercular cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Central Opercular Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25865	Gray-Cortical
25866	T1	parietal operculum cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Parietal Operculum Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25866	Gray-Cortical
25867	T1	parietal operculum cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Parietal Operculum Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25867	Gray-Cortical
25868	T1	planum polare	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Planum Polare	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25868	Gray-Cortical
25869	T1	planum polare	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Planum Polare	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25869	Gray-Cortical
25870	T1	heschl's gyrus (includes h1 and h2)	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Heschl's Gyrus (includes H1 and H2)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25870	Gray-Cortical
25871	T1	heschl's gyrus (includes h1 and h2)	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Heschl's Gyrus (includes H1 and H2)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25871	Gray-Cortical
25872	T1	planum temporale	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Planum Temporale	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25872	Gray-Cortical
25873	T1	planum temporale	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Planum Temporale	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25873	Gray-Cortical
25874	T1	supracalcarine cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Supracalcarine Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25874	Gray-Cortical
25875	T1	supracalcarine cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Supracalcarine Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25875	Gray-Cortical
25876	T1	occipital pole	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Occipital Pole	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25876	Gray-Cortical
25877	T1	occipital pole	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Occipital Pole	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25877	Gray-Cortical
25878	T1	thalamus	left	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Left Thalamus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25878	Gray-Subcortical
25879	T1	thalamus	right	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Right Thalamus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25879	Gray-Subcortical
25880	T1	caudate	left	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Left Caudate	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25880	Gray-Subcortical
25881	T1	caudate	right	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Right Caudate	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25881	Gray-Subcortical
25882	T1	putamen	left	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Left Putamen	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25882	Gray-Subcortical
25883	T1	putamen	right	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Right Putamen	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25883	Gray-Subcortical
25884	T1	pallidum	left	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Left Pallidum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25884	Gray-Subcortical
25885	T1	pallidum	right	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Right Pallidum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25885	Gray-Subcortical
25886	T1	hippocampus	left	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Left Hippocampus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25886	Gray-Subcortical
25887	T1	hippocampus	right	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Right Hippocampus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25887	Gray-Subcortical
25888	T1	amygdala	left	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Left Amygdala	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25888	Gray-Subcortical
