ukb_field	t1_or_dmri	anatomy	left_or_right	measurement_type	dmri_measure	t1_anatomy_group	notes	ukb_link
25803	T1	middle temporal gyrus, anterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Middle Temporal Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25803
25804	T1	middle temporal gyrus, posterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Middle Temporal Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25804
25805	T1	middle temporal gyrus, posterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Middle Temporal Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25805
25806	T1	middle temporal gyrus, temporooccipital part	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Middle Temporal Gyrus, temporooccipital part	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25806
25807	T1	middle temporal gyrus, temporooccipital part	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Middle Temporal Gyrus, temporooccipital part	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25807
25808	T1	inferior temporal gyrus, anterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Inferior Temporal Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25808
25809	T1	inferior temporal gyrus, anterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Inferior Temporal Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25809
25810	T1	inferior temporal gyrus, posterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Inferior Temporal Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25810
25811	T1	inferior temporal gyrus, posterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Inferior Temporal Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25811
25812	T1	inferior temporal gyrus, temporooccipital part	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Inferior Temporal Gyrus, temporooccipital part	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25812
25813	T1	inferior temporal gyrus, temporooccipital part	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Inferior Temporal Gyrus, temporooccipital part	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25813
25814	T1	postcentral gyrus	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Postcentral Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25814
25815	T1	postcentral gyrus	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Postcentral Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25815
25816	T1	superior parietal lobule	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Superior Parietal Lobule	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25816
25817	T1	superior parietal lobule	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Superior Parietal Lobule	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25817
25818	T1	supramarginal gyrus, anterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Supramarginal Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25818
25819	T1	supramarginal gyrus, anterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Supramarginal Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25819
25820	T1	supramarginal gyrus, posterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Supramarginal Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25820
25821	T1	supramarginal gyrus, posterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Supramarginal Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25821
25822	T1	angular gyrus	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Angular Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25822
25823	T1	angular gyrus	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Angular Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25823
25824	T1	lateral occipital cortex, superior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Lateral Occipital Cortex, superior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25824
25825	T1	lateral occipital cortex, superior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Lateral Occipital Cortex, superior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25825
25826	T1	lateral occipital cortex, inferior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Lateral Occipital Cortex, inferior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25826
25827	T1	lateral occipital cortex, inferior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Lateral Occipital Cortex, inferior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25827
25828	T1	intracalcarine cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Intracalcarine Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25828
25829	T1	intracalcarine cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Intracalcarine Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25829
25830	T1	frontal medial cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Frontal Medial Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25830
25831	T1	frontal medial cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Frontal Medial Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25831
25832	T1	juxtapositional lobule cortex (formerly supplementary motor cortex)	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25832
25833	T1	juxtapositional lobule cortex (formerly supplementary motor cortex)	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25833
25834	T1	subcallosal cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Subcallosal Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25834
25835	T1	subcallosal cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Subcallosal Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25835
25836	T1	paracingulate gyrus	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Paracingulate Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25836
25837	T1	paracingulate gyrus	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Paracingulate Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25837
25838	T1	cingulate gyrus, anterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Cingulate Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25838
25839	T1	cingulate gyrus, anterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Cingulate Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25839
25840	T1	cingulate gyrus, posterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Cingulate Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25840
25841	T1	cingulate gyrus, posterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Cingulate Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25841
25842	T1	precuneous cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Precuneous Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25842
25843	T1	precuneous cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Precuneous Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25843
25844	T1	cuneal cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Cuneal Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25844
25845	T1	cuneal cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Cuneal Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25845
25846	T1	frontal orbital cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Frontal Orbital Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25846
25847	T1	frontal orbital cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Frontal Orbital Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25847
25848	T1	parahippocampal gyrus, anterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Parahippocampal Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25848
25849	T1	parahippocampal gyrus, anterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Parahippocampal Gyrus, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25849
25850	T1	parahippocampal gyrus, posterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Parahippocampal Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25850
25851	T1	parahippocampal gyrus, posterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Parahippocampal Gyrus, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25851
25852	T1	lingual gyrus	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Lingual Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25852
25853	T1	lingual gyrus	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Lingual Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25853
25854	T1	temporal fusiform cortex, anterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Temporal Fusiform Cortex, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25854
25855	T1	temporal fusiform cortex, anterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Temporal Fusiform Cortex, anterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25855
25856	T1	temporal fusiform cortex, posterior division	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Temporal Fusiform Cortex, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25856
25857	T1	temporal fusiform cortex, posterior division	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Temporal Fusiform Cortex, posterior division	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25857
25858	T1	temporal occipital fusiform cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Temporal Occipital Fusiform Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25858
25859	T1	temporal occipital fusiform cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Temporal Occipital Fusiform Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25859
25860	T1	occipital fusiform gyrus	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Occipital Fusiform Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25860
25861	T1	occipital fusiform gyrus	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Occipital Fusiform Gyrus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25861
25862	T1	frontal operculum cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Frontal Operculum Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25862
25863	T1	frontal operculum cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Frontal Operculum Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25863
25864	T1	central opercular cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Central Opercular Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25864
25865	T1	central opercular cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Central Opercular Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25865
25866	T1	parietal operculum cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Parietal Operculum Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25866
25867	T1	parietal operculum cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Parietal Operculum Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25867
25868	T1	planum polare	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Planum Polare	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25868
25869	T1	planum polare	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Planum Polare	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25869
25870	T1	heschl's gyrus (includes h1 and h2)	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Heschl's Gyrus (includes H1 and H2)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25870
25871	T1	heschl's gyrus (includes h1 and h2)	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Heschl's Gyrus (includes H1 and H2)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25871
25872	T1	planum temporale	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Planum Temporale	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25872
25873	T1	planum temporale	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Planum Temporale	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25873
25874	T1	supracalcarine cortex	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Supracalcarine Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25874
25875	T1	supracalcarine cortex	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Supracalcarine Cortex	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25875
25876	T1	occipital pole	left	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Left Occipital Pole	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25876
25877	T1	occipital pole	right	Regional grey matter volumes (FAST)	NA	Cortical	Volume of grey matter in Right Occipital Pole	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25877
25878	T1	thalamus	left	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Left Thalamus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25878
25879	T1	thalamus	right	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Right Thalamus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25879
25880	T1	caudate	left	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Left Caudate	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25880
25881	T1	caudate	right	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Right Caudate	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25881
25882	T1	putamen	left	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Left Putamen	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25882
25883	T1	putamen	right	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Right Putamen	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25883
25884	T1	pallidum	left	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Left Pallidum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25884
25885	T1	pallidum	right	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Right Pallidum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25885
25886	T1	hippocampus	left	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Left Hippocampus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25886
25887	T1	hippocampus	right	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Right Hippocampus	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25887
25888	T1	amygdala	left	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Left Amygdala	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25888
25889	T1	amygdala	right	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Right Amygdala	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25889
25890	T1	ventral striatum	left	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Left Ventral Striatum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25890
25891	T1	ventral striatum	right	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Right Ventral Striatum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25891
25892	T1	brain-stem	NA	Regional grey matter volumes (FAST)	NA	Brainstem	Volume of grey matter in Brain-Stem	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25892
25893	T1	i-iv cerebellum	left	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Left I-IV Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25893
25894	T1	i-iv cerebellum	right	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Right I-IV Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25894
25895	T1	v cerebellum	left	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Left V Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25895
25896	T1	v cerebellum	right	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Right V Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25896
25897	T1	vi cerebellum	left	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Left VI Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25897
25898	T1	vi cerebellum	vermis	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Vermis VI Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25898
25899	T1	vi cerebellum	right	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Right VI Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25899
